GO.ID	Term	Annotated	Significant	Expected	weightedFisher
GO:0006334	nucleosome assembly	152	5	0.46	0.00011
GO:0006189	'de novo' IMP biosynthetic process	10	2	0.03	0.00041
GO:0016559	peroxisome fission	26	2	0.08	0.00287
GO:0045638	negative regulation of myeloid cell diff...	325	5	0.99	0.00327
GO:0007567	parturition	98	3	0.3	0.00342
GO:0009113	purine nucleobase biosynthetic process	29	2	0.09	0.00356
GO:0035584	calcium-mediated signaling using intrace...	110	3	0.34	0.00472
GO:0090197	positive regulation of chemokine secreti...	34	2	0.1	0.00487
GO:0050847	progesterone receptor signaling pathway	35	2	0.11	0.00516
GO:0030511	positive regulation of transforming grow...	133	3	0.41	0.00797
GO:1900273	positive regulation of long-term synapti...	134	3	0.41	0.00814
GO:0006525	arginine metabolic process	46	2	0.14	0.00878
GO:0045766	positive regulation of angiogenesis	618	6	1.89	0.01185
