1	chr000861.1	1	1000	1	1	0	0	rna67790	chr000861.1_1
10	chr000861.1	10001	11000	1	1	0	0	rna67807	chr000861.1_10001
2	chr000861.1	1001	2000	1	1	0	0	rna67791	chr000861.1_1001
11	chr000861.1	11001	12000	1	1	0	6	rna67807	chr000861.1_11001
12	chr000861.1	12001	13000	1	1	0	0	rna67810	chr000861.1_12001
13	chr000861.1	13001	14000	1	0	0	127	rna67810	chr000861.1_13001
14	chr000861.1	14001	15000	1	0	0	375	rna67811	chr000861.1_14001
15	chr000861.1	15001	16000	1	1	0	0	rna67811	chr000861.1_15001
16	chr000861.1	16001	17000	1	1	0	0	rna67813	chr000861.1_16001
3	chr000861.1	2001	3000	1	1	0	0	rna67793	chr000861.1_2001
4	chr000861.1	3001	4000	1	1	0	0	rna67794	chr000861.1_3001
5	chr000861.1	4001	5000	1	1	0	0	rna67797	chr000861.1_4001
6	chr000861.1	5001	6000	1	1	0	-41	rna67796	chr000861.1_5001
6	chr000861.1	6001	7000	1	1	0	0	rna67802	chr000861.1_6001
7	chr000861.1	7001	8000	1	0	0	93	rna67803	chr000861.1_7001
8	chr000861.1	8001	9000	1	1	0	0	rna67805	chr000861.1_8001
9	chr000861.1	9001	10000	1	0	0	127	rna67805	chr000861.1_9001
17	chr019942504.1	126001	127000	0	0	0	NA	NA	chr019942504.1_126001
22	chr019942505.1	1098001	1099000	1	1	0	0	rna52803:gene33440	chr019942505.1_1098001
17	chr019942505.1	1433001	1434000	0	0	0	-17990	rna52809:XP_023990795.1:XP_023990795.1:XP_023990795.1:gene33451	chr019942505.1_1433001
18	chr019942505.1	146001	147000	1	0	1	939	rna52726	chr019942505.1_146001
17	chr019942505.1	359001	360000	1	1	1	0	rna52735	chr019942505.1_359001
16	chr019942505.1	382001	383000	1	1	0	0	rna52738:XP_023990753.1:XP_023990753.1:gene33394	chr019942505.1_382001
10	chr019942505.1	383001	384000	1	1	0	0	rna52736:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:gene33394	chr019942505.1_383001
18	chr019942505.1	389001	390000	0	0	0	1546	rna52736:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:gene33394	chr019942505.1_389001
16	chr019942505.1	473001	474000	1	1	0	0	rna52743:XP_023990755.1:XP_023990755.1:XP_023990755.1:XP_023990755.1:XP_023990755.1:XP_023990755.1:gene33398	chr019942505.1_473001
13	chr019942505.1	474001	475000	1	0	0	-101	rna52743:XP_023990755.1:XP_023990755.1:XP_023990755.1:XP_023990755.1:XP_023990755.1:XP_023990755.1:gene33398	chr019942505.1_474001
18	chr019942505.1	588001	589000	0	0	0	13050	rna52749	chr019942505.1_588001
11	chr019942505.1	681001	682000	0	0	0	-3088	rna52764:gene33413	chr019942505.1_681001
22	chr019942505.1	782001	783000	0	0	0	-1030	rna52776:gene33420	chr019942505.1_782001
