1	chr000861.1	1	1000	1	1	0	0	rna67790	chr000861.1_1
10	chr000861.1	10001	11000	1	1	0	0	rna67807	chr000861.1_10001
2	chr000861.1	1001	2000	1	1	0	0	rna67791	chr000861.1_1001
11	chr000861.1	11001	12000	1	1	0	6	rna67807	chr000861.1_11001
12	chr000861.1	12001	13000	1	1	0	0	rna67810	chr000861.1_12001
13	chr000861.1	13001	14000	1	0	0	127	rna67810	chr000861.1_13001
14	chr000861.1	14001	15000	1	0	0	375	rna67811	chr000861.1_14001
15	chr000861.1	15001	16000	1	1	0	0	rna67811	chr000861.1_15001
7	chr000861.1	16001	17000	1	1	0	0	rna67813	chr000861.1_16001
3	chr000861.1	2001	3000	1	1	0	0	rna67793	chr000861.1_2001
3	chr000861.1	3001	4000	1	1	0	0	rna67794	chr000861.1_3001
5	chr000861.1	4001	5000	1	1	0	0	rna67797	chr000861.1_4001
6	chr000861.1	5001	6000	1	1	0	-41	rna67796	chr000861.1_5001
4	chr000861.1	6001	7000	1	1	0	0	rna67802	chr000861.1_6001
5	chr000861.1	7001	8000	1	0	0	93	rna67803	chr000861.1_7001
6	chr000861.1	8001	9000	1	1	0	0	rna67805	chr000861.1_8001
9	chr000861.1	9001	10000	1	0	0	127	rna67805	chr000861.1_9001
16	chr019942504.1	126001	127000	0	0	0	NA	NA	chr019942504.1_126001
11	chr019942504.1	89001	90000	0	0	0	NA	NA	chr019942504.1_89001
11	chr019942505.1	106001	107000	1	1	0	0	rna52725:XP_023990718.1:XP_023990718.1:XP_023990718.1:XP_023990718.1:XP_023990718.1:XP_023990718.1:XP_023990718.1:XP_023990718.1:XP_023990718.1:XP_023990718.1:XP_023990718.1:XP_023990718.1:gene33383	chr019942505.1_106001
25	chr019942505.1	1074001	1075000	1	1	0	0	rna52799:XP_023990804.1:gene33438	chr019942505.1_1074001
24	chr019942505.1	1098001	1099000	1	1	0	0	rna52803:gene33440	chr019942505.1_1098001
20	chr019942505.1	1182001	1183000	0	0	0	-22229	gene33443	chr019942505.1_1182001
18	chr019942505.1	1433001	1434000	0	0	0	-17990	rna52809:XP_023990795.1:XP_023990795.1:XP_023990795.1:gene33451	chr019942505.1_1433001
17	chr019942505.1	146001	147000	1	0	1	939	rna52726	chr019942505.1_146001
8	chr019942505.1	359001	360000	1	1	1	0	rna52735	chr019942505.1_359001
19	chr019942505.1	382001	383000	1	1	0	0	rna52738:XP_023990753.1:XP_023990753.1:gene33394	chr019942505.1_382001
20	chr019942505.1	383001	384000	1	1	0	0	rna52736:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:gene33394	chr019942505.1_383001
21	chr019942505.1	389001	390000	0	0	0	1546	rna52736:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:XP_023990751.1:gene33394	chr019942505.1_389001
